comparison,control,candidate,split,pathway,metric,control_value,candidate_value,delta_candidate_better
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,hypoxia,z_rmse,0.6272355584420835,0.6266023179732515,0.0006332404688319526
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,hypoxia,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,hypoxia,abs_moran_delta,0.15050308768111334,0.13757850361141066,0.012924584069702677
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,mhc,pcc,0.450799317997463,0.4336625055634795,-0.01713681243398346
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,mhc,ccc,0.36865962069979824,0.34937115702174165,-0.01928846367805659
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,mhc,z_rmse,0.5935831682491192,0.5962816494677631,-0.002698481218643911
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,mhc,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,mhc,abs_moran_delta,0.27884100855392185,0.2671492601360071,0.01169174841791476
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,icp,pcc,0.4687785792646486,0.47013402757888995,0.0013554483142413365
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,icp,ccc,0.38666397289502763,0.401720252594032,0.01505627969900436
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,icp,z_rmse,0.8953852520788922,0.9003039222719532,-0.0049186701930610255
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,icp,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,icp,abs_moran_delta,0.254745576970627,0.25725205191371614,-0.002506474943089143
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,ifng,pcc,0.45780174410732943,0.4484920049224845,-0.009309739184844956
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,ifng,ccc,0.3864136020720285,0.3749378061865371,-0.011475795885491413
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,ifng,z_rmse,0.7476070487430765,0.7530186831715596,-0.005411634428483136
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,ifng,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,ifng,abs_moran_delta,0.09923267818774399,0.10579881472220853,-0.006566136534464542
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,toxic,pcc,0.5761372047724621,0.5909030068178239,0.01476580204536182
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,toxic,ccc,0.5031447721707031,0.5261479360896902,0.023003163918987157
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,toxic,z_rmse,0.7638378392536423,0.7555901390565815,0.008247700197060892
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,toxic,ssim,,,
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,toxic,abs_moran_delta,0.19566705366929718,0.21005130094111876,-0.014384247271821582
lora_s0_vs_lora_s1,lora_s0,lora_s1,internal_val,Glycolysis,pcc,0.7488509471423981,0.7425515384543918,-0.006299408688006269
