pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
toxic,2,104,-3822.412246930992,-4400.914372744359,-578.5021258133672,1424.0185217973233
toxic,3,104,-3571.0349359457973,-4168.733241529897,-597.6983055840997,1387.229271495997
toxic,4,104,-3731.7810651809104,-3949.4578919961778,-217.6768268152668,1247.3856402469921
toxic,5,104,-3647.8524269297677,-3758.261638447856,-110.4092115180887,1391.075772168937
toxic,6,103,-3478.3260488871765,-3554.4563160946195,-76.13026720744334,1604.3093950541015
toxic,7,104,-2988.6537342669462,-3321.7736765701898,-333.11994230324393,1911.6318132215192
toxic,8,104,-2783.097181654089,-2983.8735087581,-200.77632710401045,1816.976267460649
toxic,9,104,-2663.8731429772647,-2541.750606330622,122.12253664664324,1897.6433513724135
toxic,10,104,-959.8917254407254,-1161.8342694839714,-201.94254404324627,1880.467227605856
Glycolysis,1,104,2903.8595057170673,2296.573864512694,-607.2856412043736,1269.9143524497608
Glycolysis,2,104,4704.144821730116,3325.557477490092,-1378.5873442400234,1437.3091083401632
Glycolysis,3,104,4918.787737519535,3610.3100737660725,-1308.4776637534624,1317.646366702676
Glycolysis,4,104,4942.283002535509,3770.785767855263,-1171.497234680246,1211.2382409731663
Glycolysis,5,104,4811.626135403807,3900.647226742379,-910.9789086614279,967.0187036501649
Glycolysis,6,103,4986.664388663463,4022.9671522925128,-963.6972363709497,1007.2706490452673
Glycolysis,7,104,4991.309083030749,4150.708911679134,-840.6001713516154,888.1603459708215
Glycolysis,8,104,5041.653967508597,4297.678638501467,-743.9753290071314,797.3111309351975
Glycolysis,9,104,5144.514850450883,4488.575451861303,-655.9393985895811,769.4928849972229
Glycolysis,10,104,5348.187752598017,4910.423221966267,-437.7645306317509,633.0720143353307
Inflammatory_Response,1,104,-1262.936940492578,-1710.0139825739102,-447.0770420813318,1158.4106899078322
Inflammatory_Response,2,104,-1186.570987222128,-1204.5740207448803,-18.003033522752336,1147.460233743393
Inflammatory_Response,3,104,-830.378774134433,-920.7822403748055,-90.40346624037245,996.1895285024949
Inflammatory_Response,4,104,-858.9083348291105,-680.1689197182319,178.73941511087835,1178.3652450847183
Inflammatory_Response,5,104,-496.53633410605096,-436.1183602631266,60.4179738429243,1179.7370672255463
Inflammatory_Response,6,103,-409.8961372692577,-200.9635934958585,208.93254377339926,1466.4592287989694
Inflammatory_Response,7,104,45.90478692677287,82.08228267086369,36.17749574409084,1435.195561997704
Inflammatory_Response,8,104,660.2427222979863,396.4980368900112,-263.74468540797506,1476.1947104885587
Inflammatory_Response,9,104,1407.867977183853,934.8058939534245,-473.0620832304285,1636.531776755282
Inflammatory_Response,10,104,1248.019414618388,2007.3554185028188,759.3360038844311,1813.4956041795267
IL6_JAK_STAT3,1,104,3158.8069488427404,2565.9559425485486,-592.8510062941918,1663.9630771839804
IL6_JAK_STAT3,2,104,4620.507223291727,3453.9751535320006,-1166.5320697597267,1500.2971412357701
IL6_JAK_STAT3,3,104,4894.329514966472,3642.6993206355937,-1251.6301943308779,1433.4968424282415
IL6_JAK_STAT3,4,104,4871.689435550692,3776.963968043564,-1094.7254675071288,1241.4252891420979
IL6_JAK_STAT3,5,104,5000.8411986100045,3875.5383466163094,-1125.3028519936945,1152.108287764157
IL6_JAK_STAT3,6,103,5016.619893849672,3975.712058978605,-1040.9078348710664,1094.2199232676192
IL6_JAK_STAT3,7,104,5001.786874904177,4090.0116336045276,-911.7752412996495,1108.3524845981433
IL6_JAK_STAT3,8,104,5230.227896820516,4210.5767060110975,-1019.6511908094186,1100.7474681067663
IL6_JAK_STAT3,9,104,5228.586924937599,4360.205420371882,-868.3815045657186,976.60402916927
IL6_JAK_STAT3,10,104,5400.194588741364,4712.070883203036,-688.1237055383275,884.6661976502334
P53_Pathway,1,104,1235.7200264213689,883.5119692720782,-352.2080571492904,1406.2179621325793
P53_Pathway,2,104,3047.7634744654206,1788.5618471308114,-1259.2016273346094,1621.0016718780182
P53_Pathway,3,104,3343.8740279287426,2091.5700724647245,-1252.3039554640184,1426.5073254970646
