grid_size_px,cell_x,cell_y,pathway,n_patches,bias,mae,raw_r2
1024,13,4,Glycolysis,14,-1928.3766700947167,1936.9999864742385,-10.76283980174921
1024,13,4,Inflammatory_Response,14,-840.9390074775939,1294.7666803672696,-0.7844234792906388
1024,13,4,IL6_JAK_STAT3,14,-1472.1780786248453,1530.9162807243952,-3.422094599373631
1024,13,4,P53_Pathway,14,-1072.7384748630973,1193.4036839663422,-0.3861986956341459
1024,13,4,DNA_Damage_Response,14,421.8609341383409,727.0256277425269,0.19352639205747824
1024,13,4,Complement,14,-404.4573401272973,823.893856236052,-0.8834830383862391
1024,13,4,Coagulation,14,-717.1630896725565,803.4710143086777,-2.1902133333432396
1024,13,4,Oxidative_Phosphorylation,14,-262.12173637286384,542.8657803323443,0.6739236931579284
1024,13,4,Reactive_Oxygen_Species,14,-393.32379295165873,547.4082505104512,-1.2699751452771642
1024,13,4,Wound_Healing,14,-1226.4648683803555,1235.9592882548418,-1.444668622748186
1024,13,4,Fibrosis,14,-620.4977641964261,956.8831192704102,-0.0018689028910949812
1024,13,4,MYC_Targets,14,-284.1402304130257,877.8352515779665,0.4585818351267673
1024,13,4,E2F_Targets,14,436.67646470395164,894.2794409123911,-0.00020002900710225369
1024,13,4,G2M_Checkpoint,14,-822.6978551674918,1603.4206625030586,0.12225446437461973
1024,13,4,Mitotic_Spindle,14,-341.94177108798027,1309.090089386949,0.22568291143689645
1024,13,4,Unfolded_Protein_Response,14,-815.612861108897,871.1734829141795,-0.0672986310928061
1024,13,4,mTOR_Signaling,14,194.3515530578856,648.0197712015026,0.5392880134972061
1024,13,4,Interferon_Alpha,14,-2171.82365702126,2171.82365702126,-12.147268152178214
1024,13,4,Angiogenesis,14,255.66167556215274,526.1027136862962,0.19345768303886268
1024,13,4,Apoptosis,14,85.51914107252067,809.3743513938482,0.42078299777118944
1024,13,4,TNF_Signaling,14,-607.3108694377594,1370.637141705594,-0.20129612978075295
1024,13,4,ECM_Organization,14,-390.6605767057267,999.225965484746,0.14318463207415966
1024,13,5,tls,18,321.65394238779237,675.3844930467643,0.18788023121226183
1024,13,5,tgfb,18,-387.05730186753067,866.0188315631594,-0.5692714759028665
1024,13,5,emt,18,1115.3964635221962,1205.6063777156494,-0.21949920338084117
1024,13,5,hypoxia,18,-373.6552249051699,733.3716296502664,-0.012499525794205768
1024,13,5,mhc,18,-74.14507647954922,336.2954202590033,-218.16690144363233
1024,13,5,icp,18,-362.5528150193595,940.071813548076,0.17184897741225802
1024,13,5,ifng,18,-61.00866240002753,1094.555280941514,0.08399852071749248
1024,13,5,toxic,18,-283.09081389727953,1083.788395020616,0.2138558871658497
1024,13,5,Glycolysis,18,-1277.5223867430034,1277.5223867430034,-5.795579918515424
1024,13,5,Inflammatory_Response,18,-846.7669666852831,1250.742293639797,-0.4153239051863695
1024,13,5,IL6_JAK_STAT3,18,-1137.2460930134637,1322.1343669301552,-1.9488376854795493
1024,13,5,P53_Pathway,18,-1460.121075008495,1460.121075008495,-4.607625383895257
1024,13,5,DNA_Damage_Response,18,-857.3778379625949,991.8620908482894,-0.6785415171985361
1024,13,5,Complement,18,-848.5123270166988,1391.5361298056607,0.10228978647505504
1024,13,5,Coagulation,18,-29.245651259991902,415.34079396898215,-0.3882524504009506
1024,13,5,Oxidative_Phosphorylation,18,-200.14655865554298,532.0516555510114,0.18988781456227044
